Date Time, Water Level,TY, I, L 
2017-01-01 02:36,7.559,HH,0,0
2017-01-01 10:12,4.281,L ,0,0
2017-01-01 15:24,6.860,H ,0,0
2017-01-01 22:06,4.072,LL,0,0
2017-01-02 03:24,6.873,HH,0,0
2017-01-02 10:30,3.802,LL,0,0
2017-01-02 16:00,6.837,H ,0,0
2017-01-02 22:18,4.364,L ,0,0
2017-01-03 03:48,7.372,H ,0,0
2017-01-03 10:54,4.416,LL,0,0
2017-01-03 16:42,7.867,HH,0,0
2017-01-03 22:54,5.344,L ,0,0
2017-01-04 04:18,8.455,H ,0,0
2017-01-04 11:24,5.614,L ,0,0
2017-01-04 16:54,8.619,HH,0,0
2017-01-05 00:30,5.581,LL,0,0
2017-01-05 05:06,7.808,HH,0,0
2017-01-05 12:36,4.787,L ,0,0
2017-01-05 18:00,7.395,H ,0,0
2017-01-06 01:18,4.734,LL,0,0
2017-01-06 06:18,7.215,HH,0,0
2017-01-06 13:54,4.219,LL,0,0
2017-01-06 19:18,6.775,H ,0,0
2017-01-07 02:30,4.288,L ,0,0
2017-01-07 07:42,6.532,H ,0,0
2017-01-07 14:30,4.262,L ,0,0
2017-01-07 19:54,6.736,HH,0,0
2017-01-08 04:24,3.698,LL,0,0
2017-01-08 08:48,4.961,H ,0,0
2017-01-08 15:30,3.465,L ,0,0
2017-01-08 21:06,5.079,HH,0,0
2017-01-09 04:12,3.383,LL,0,0
2017-01-09 10:18,6.083,H ,0,0
2017-01-09 16:30,4.078,LL,1,0
2017-01-09 22:30,7.461,HH,0,0
2017-01-10 05:42,4.459,L ,0,0
2017-01-10 10:36,7.306,H ,0,0
2017-01-10 17:36,4.432,LL,1,0
2017-01-10 23:06,7.743,HH,0,0
2017-01-11 06:42,4.718,L ,0,0
2017-01-11 11:30,7.520,H ,0,0
2017-01-11 18:36,4.482,L ,0,0
2017-01-12 00:00,7.913,HH,0,0
2017-01-12 07:54,4.482,LL,0,0
2017-01-12 12:42,7.339,H ,0,0
2017-01-12 19:36,4.573,L ,0,0
2017-01-13 01:00,7.500,HH,0,0
2017-01-13 08:42,4.131,LL,0,0
2017-01-13 13:42,7.001,HH,0,0
2017-01-13 20:54,3.822,L ,0,0
2017-01-14 02:06,6.978,H ,0,0
2017-01-14 09:12,3.816,LL,0,0
2017-01-14 14:30,6.841,H ,0,0
2017-01-14 21:12,4.134,LL,0,0
2017-01-15 02:42,7.411,HH,0,0
2017-01-15 10:06,4.229,L ,0,0
2017-01-15 15:06,7.313,H ,0,0
2017-01-15 22:06,4.331,L ,0,0
2017-01-16 03:24,7.507,HH,0,0
2017-01-16 10:48,4.331,LL,0,0
2017-01-16 16:06,7.408,H ,0,0
2017-01-16 23:06,4.452,L ,0,0
2017-01-17 04:18,7.507,HH,0,0
2017-01-17 11:36,4.380,LL,0,0
2017-01-17 17:00,7.418,H ,0,0
2017-01-17 23:42,4.728,L ,0,0
2017-01-18 04:48,7.562,HH,0,0
2017-01-18 12:30,4.426,LL,0,0
2017-01-18 17:42,7.146,HH,0,0
2017-01-19 01:00,4.222,LL,0,0
2017-01-19 06:12,6.926,H ,0,0
2017-01-19 12:30,4.774,L ,0,0
2017-01-19 18:24,7.887,H ,0,0
2017-01-20 00:48,5.738,L ,0,0
2017-01-20 06:18,8.077,HH,0,0
2017-01-20 13:42,5.545,LL,0,0
2017-01-20 19:06,8.146,HH,0,0
2017-01-21 02:30,5.358,L ,0,0
2017-01-21 07:30,7.379,H ,0,0
2017-01-21 14:18,5.102,LL,0,0
2017-01-21 20:06,7.831,HH,0,0
2017-01-22 03:06,5.322,L ,0,0
2017-01-22 08:30,7.474,H ,0,0
2017-01-22 15:06,5.282,LL,0,0
2017-01-22 20:54,7.907,HH,0,0
2017-01-23 04:18,5.200,LL,0,0
2017-01-23 09:48,7.267,H ,0,0
2017-01-23 15:30,5.741,L ,0,0
