Date Time, Water Level,TY, I, L 
2016-01-01 00:12,5.367,L ,1,0
2016-01-01 05:42,7.730,H ,1,0
2016-01-01 12:30,5.318,LL,1,0
2016-01-01 17:54,7.743,HH,0,0
2016-01-07 17:48,4.931,L ,0,0
2016-01-07 23:00,7.615,HH,0,0
2016-01-08 06:30,4.577,L ,0,0
2016-01-08 11:36,7.083,H ,0,0
2016-01-08 18:06,4.547,LL,0,0
2016-01-08 23:54,7.772,HH,0,0
2016-01-09 06:54,4.987,LL,0,0
2016-01-09 12:12,8.058,H ,0,0
2016-01-09 18:48,5.299,L ,0,0
2016-01-10 00:30,8.658,HH,0,0
2016-01-10 07:36,5.597,LL,0,0
2016-01-10 13:06,9.213,HH,0,0
2016-01-10 19:42,6.588,L ,0,0
2016-01-11 00:12,9.022,H ,0,0
2016-01-11 08:54,5.604,L ,0,0
2016-01-11 13:30,7.635,H ,0,0
2016-01-11 21:00,5.144,LL,0,0
2016-01-12 02:06,7.769,HH,0,0
2016-01-12 09:36,4.790,LL,0,0
2016-01-12 14:42,8.005,HH,0,0
2016-01-12 22:00,5.213,L ,0,0
2016-01-13 02:24,7.477,H ,0,0
2016-01-13 10:54,3.812,L ,0,0
2016-01-13 15:18,6.165,H ,0,0
2016-01-13 22:36,3.780,LL,0,0
2016-01-14 04:18,6.624,HH,0,0
2016-01-14 11:00,4.104,LL,0,0
2016-01-14 16:18,7.218,HH,0,0
2016-01-14 23:42,4.334,L ,0,0
2016-01-15 04:48,7.172,H ,0,0
2016-01-15 12:00,4.255,LL,0,0
2016-01-15 17:12,7.260,H ,0,0
2016-01-16 00:12,4.436,L ,0,0
2016-01-16 05:24,7.369,HH,0,0
2016-01-16 12:36,4.649,LL,0,0
2016-01-16 17:36,7.559,H ,0,0
2016-01-17 00:36,4.954,L ,0,0
2016-01-17 06:18,7.976,HH,0,0
2016-01-17 13:48,5.226,L ,0,0
2016-01-17 19:12,8.077,HH,0,0
2016-01-18 02:42,5.167,LL,0,0
2016-01-18 07:12,7.198,H ,0,0
2016-01-18 15:00,4.652,L ,0,0
2016-01-18 19:24,6.703,HH,0,0
2016-01-19 03:18,4.232,LL,0,0
2016-01-19 08:18,5.981,H ,0,0
2016-01-19 15:54,3.658,L ,0,0
2016-01-19 21:00,5.138,HH,0,0
2016-01-20 04:48,2.674,LL,0,0
2016-01-20 10:00,4.334,H ,0,0
2016-01-20 16:06,2.710,LL,0,0
2016-01-20 22:54,5.853,H ,0,0
2016-01-21 05:36,3.471,L ,0,0
2016-01-21 10:54,6.168,HH,0,0
2016-01-21 18:36,2.818,LL,0,0
2016-01-22 00:12,5.902,H ,0,0
2016-01-22 06:30,3.550,L ,0,0
2016-01-22 11:54,6.263,HH,0,0
2016-01-22 18:06,3.911,LL,0,0
2016-01-22 23:30,7.326,HH,0,0
2016-01-23 07:00,4.341,L ,0,0
2016-01-23 12:36,6.972,H ,0,0
2016-01-23 19:30,4.350,L ,0,0
2016-01-24 01:24,6.040,HH,0,0
2016-01-24 09:36,3.707,LL,0,0
2016-01-24 15:12,5.584,H ,0,0
