CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1938,2010,CA,0,1,2,,0,,1,2,0,2,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,,4,3,1,0,1,M
1939,2010,CA,0,1,2,,0,,4,1,1,14,1,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,D,D,D,D,D,,,,,,,,,,5,4,5,1,1,1,,3,,,,,,,,,,,2,3,3,0,1,M
1940,2010,CA,1,1,2,,1,1,5,7,2,12,0,1,0,1,1,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,M,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,2,,3,4,3,4,4,1,4,,1,5,3,0,M,1
1941,2010,CA,1,1,2,,0,,2,2,2,5,0,1,0,1,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,1,1,1,0,0,1,0,1,0,0,,,0,,,,1,1,0,1,1,1,0,0,D,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,3,,4,3,5,5,4,1,3,,2,2,4,0,M,1
1942,2010,CA,0,1,2,,0,,1,1,2,11,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,0,0,0,1,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,2,2,1,1,1,,2,,,,,,,,,,,2,3,4,1,1,M
1943,2010,CA,1,0,4,,0,,1,2,1,2,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,,,,,,,,,4,,,2,1,1,1,,1,,,,,,,,,,,2,3,3,0,1,M
1944,2010,CA,0,1,2,,0,,1,2,0,5,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,,1,5,1,0,1,1
1945,2010,CA,1,0,2,,0,,2,4,1,9,0,1,1,1,1,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,,,1,1,0,0,0,,,,,,0,1,1,0,1,0,0,0,0,0,,,,,,,,,4,,,2,1,1,1,,2,,,,,,,,,,,2,3,3,0,1,M
1946,2010,CA,1,1,2,,0,,5,6,1,13,0,1,1,1,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,0,1,1,1,0,0,0,0,1,0,,,0,,,,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,5,3,,,,3,1,3,1,3,1,1,5,0,1,1
1947,2010,CA,0,1,4,,0,,5,2,2,7,0,0,0,1,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4,,2,1,1,1,,5,1,1,0,1,M
1948,2010,CA,0,1,4,,0,,5,1,1,5,0,0,0,0,0,0,,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,4,1,1,,5,1,1,0,1,M
1949,2010,CA,1,1,1,,1,2,5,6,2,10,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,,1,0,1,1,1,0,,,,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,1,,1,1,1,1,,1,1,5,0,1,1
1950,2010,CA,1,1,1,,0,,1,3,1,10,0,0,1,1,1,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,M,1,0,0,0,1,0,0,,,0,,,,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,4,,,,3,1,4,1,4,1,1,5,0,1,1
1951,2010,CA,1,1,1,,0,,4,6,2,9,0,0,1,0,0,1,1,3,0,,0,1,1,0,0,0,0,0,M,M,M,M,M,M,1,M,M,M,M,M,M,0,0,1,1,1,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,1,5,0,1,1
1952,2010,CA,1,1,1,,0,,2,4,1,12,0,0,1,0,0,1,1,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,1,0,0,,,0,,,,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,4,2,,,,2,1,2,1,2,1,1,5,0,1,1
1953,2010,CA,0,1,3,,0,,1,2,1,10,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,5,5,1,1,1,,5,,,,,,,,,,,4,1,1,1,1,M
1954,2010,CA,1,1,4,,0,,5,6,2,15,0,1,0,1,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,1,,,2,5,5,1,1,1,,2,5,1,0,1,M
1955,2010,CA,0,1,4,,0,,3,0,1,2,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,,3,1,4,0,1,M
1956,2010,CA,0,1,4,,1,2,6,7,2,13,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,5,2,4,1,1,1,,4,1,2,0,1,M
1957,2010,CA,0,1,2,,0,,5,2,2,6,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,,2,3,3,0,1,M
1958,2010,CA,0,1,2,,0,,3,2,2,15,1,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,,,1,0,1,1,0,,,,,,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,4,4,1,1,1,,5,,,,,,,,,,,2,1,4,1,1,M
1959,2010,CA,0,1,2,,0,,5,4,2,13,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,,1,1,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,4,3,4,1,1,1,,5,1,1,0,1,M
1960,2010,CA,0,1,2,,0,,3,2,2,8,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,3,2,2,0,1,M
1961,2010,CA,1,1,2,,0,,3,6,2,11,0,0,1,0,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,2,1,,,,1,1,1,1,1,1,1,5,0,1,1
1962,2010,CA,0,1,2,,0,,6,3,1,7,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,,1,1,5,0,1,M
1963,2010,CA,0,1,2,,0,,4,0,2,6,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,1,,4,1,2,0,M,M
1964,2010,CA,0,1,2,,0,,5,3,2,7,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5,5,5,4,1,1,,4,1,1,0,1,M
1965,2010,CA,0,1,4,,0,,4,2,2,4,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,1,,2,1,4,0,1,M
1966,2010,CA,0,1,4,,0,,5,2,2,8,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,4,4,2,1,1,,2,1,4,0,1,M
1967,2010,CA,0,1,4,,0,,6,2,2,10,0,0,0,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,,3,3,2,0,1,M
1968,2010,CA,0,1,2,,0,,5,0,2,9,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,5,1,1,,2,3,3,0,1,M
1969,2010,CA,0,1,2,,0,,6,2,2,6,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,1,D,1,,,,,,,,,,,,,,,,,,,,,,4,3,5,1,1,,5,1,1,0,1,M
1970,2010,CA,0,1,4,,0,,4,2,2,14,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,3,4,4,4,1,1,,4,1,2,0,1,M
1971,2010,CA,0,1,4,,0,,5,2,2,15,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,0,1,1,1,0,,,0,,,,1,0,0,1,1,1,1,0,D,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,3,3,4,3,1,1,,4,1,1,0,1,M
1972,2010,CA,0,1,4,,0,,4,2,2,10,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,3,5,5,3,1,1,,2,2,4,0,1,M
1973,2010,CA,0,1,2,,0,,3,2,1,6,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,2,,5,5,1,1,1,,4,1,1,0,1,M
1974,2010,CA,0,1,4,,0,,5,6,2,13,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,5,1,1,,4,2,1,0,1,M
1975,2010,CA,0,1,2,,0,,3,2,1,6,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,,2,1,5,0,1,M
1976,2010,CA,1,1,1,,0,,3,5,2,10,0,0,1,1,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,1,0,0,0,1,1,0,0,0,,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,1,2,,,,2,1,2,1,2,1,1,5,0,1,1
1977,2010,CA,0,1,2,,0,,6,6,2,18,1,1,1,1,1,1,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,5,,5,2,1,1,1,5,5,5,,5,1,1,1,1,5,,1,,5,,3,1,1,1,1,1,4,5,0,1,1
1978,2010,CA,1,1,1,,0,,2,6,2,6,0,0,1,0,0,1,1,3,0,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,1,0,,,0,,,,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,4,3,,,,3,1,3,1,3,1,1,5,0,1,1
1979,2010,CA,0,1,2,,0,,1,2,1,2,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,D,D,D,0,0,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,1,,4,2,2,0,1,M
1980,2010,CA,0,1,4,,0,,2,0,1,9,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,1,,4,1,2,0,1,1
1981,2010,CA,0,1,6,2,0,,5,2,2,12,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,,1,5,1,0,M,1
1982,2010,CA,0,1,4,,0,,4,3,2,7,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,4,4,4,3,1,1,,4,2,1,0,1,M
1983,2010,CA,0,1,4,,0,,5,1,2,8,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,1,,4,1,1,0,1,M
1984,2010,CA,0,1,4,,0,,6,0,2,7,0,0,0,0,0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,,4,2,2,0,1,M
1985,2010,CA,0,1,2,,0,,4,1,1,4,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,0,,0,,,0,,,,1,0,0,0,0,1,1,1,0,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,5,4,0,1,M
1986,2010,CA,0,1,4,,0,,6,0,2,10,0,0,0,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,4,1,1,1,,5,1,1,0,1,M
1987,2010,CA,1,1,2,,0,,1,4,2,10,0,0,0,0,0,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,1,0,0,0,0,,,1,1,1,1,0,,,,,,0,1,1,0,1,0,0,0,1,1,,,,,,,,,,,4,4,1,1,1,,5,,,,,,,,,,,5,1,1,1,1,1
1988,2010,CA,0,1,4,,0,,2,1,2,6,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,5,1,1,,4,1,3,0,1,1
1989,2010,CA,0,1,2,,0,,1,6,2,13,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,,0,0,,,1,0,0,1,0,,,,,,0,1,1,M,M,M,M,M,M,M,,,,,,,,,,,4,4,1,1,1,,4,,,,,,,,,,,4,1,1,0,1,1
1990,2010,CA,0,1,2,,0,,1,2,1,1,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,D,D,D,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,,4,2,2,0,1,M
1991,2010,CA,1,1,4,,0,,6,2,2,11,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,,2,3,3,1,1,M
1992,2010,CA,0,1,2,,0,,3,3,1,9,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,0,0,1,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,5,1,1,0,M,M
1993,2010,CA,1,1,2,,0,,5,7,2,11,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,4,5,5,1,1,1,,4,2,2,0,1,M
1994,2010,CA,1,1,1,,0,,1,1,1,0,0,0,1,1,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,0,,,0,,,,1,1,1,0,1,1,1,0,D,0,1,0,1,0,0,D,,,,,,,,,,,,,,,,,,4,3,,,,3,1,2,1,2,1,1,5,0,1,1
1995,2010,CA,0,1,2,,0,,5,2,2,13,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,5,2,4,1,1,1,,4,2,2,0,1,M
1996,2010,CA,0,1,4,,0,,3,0,1,3,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,,1,1,5,0,1,M
1997,2010,CA,0,1,2,,0,,4,1,2,14,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,4,4,1,1,1,,4,,,,,,,,,,,2,1,4,1,1,M
1998,2010,CA,0,1,4,,0,,2,2,2,7,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,5,5,1,1,1,,4,1,2,0,1,M
1999,2010,CA,0,1,2,,0,,3,3,2,8,0,0,1,1,0,1,1,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,,,0,,,,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,D,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,1,5,0,1,1
2000,2010,CA,1,1,1,,0,,2,4,2,3,0,0,1,1,0,1,1,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,1,1,D,D,1,,,,,,,,,,,,,,,,,,5,4,,,,4,1,4,1,4,1,1,5,0,1,1
2001,2010,CA,1,1,1,,0,,3,3,2,10,0,0,1,1,0,1,0,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,,0,,,,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,5,4,,,,4,1,4,1,4,1,1,5,0,1,1
2002,2010,CA,0,1,2,,0,,4,1,2,3,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,M,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,2,5,0,1,M
2003,2010,CA,0,1,2,,0,,4,2,2,10,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,1,3,2,1,1,1,,2,,,,,1,1,1,1,1,,5,1,1,0,1,M
2004,2010,CA,0,1,2,,0,,3,2,2,6,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,5,5,5,5,1,1,,4,1,1,0,1,M
2005,2010,CA,0,1,1,,0,,1,0,0,2,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,,1,5,1,0,1,M
2006,2010,CA,0,1,2,,0,,2,7,2,10,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,5,5,1,1,1,,5,,,,,,,,,,,4,3,2,0,1,M
2007,2010,CA,0,1,2,,0,,3,1,2,9,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,1,,1,4,4,0,1,M
2008,2010,CA,0,1,2,,0,,6,3,2,15,0,0,0,0,0,0,,,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,5,5,5,4,1,1,,2,1,5,0,1,1
2009,2010,CA,0,1,2,,0,,5,2,2,7,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,M,1,1,,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,5,5,1,1,1,,5,,,,2,3,3,1,1,1,,2,1,4,1,1,M
