CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
28,2010,AK,0,1,2,,0,,6,1,2,17,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,,,0,,,,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,4,4,4,4,1,1,,2,3,3,0,1,1
29,2010,AK,0,1,2,,1,1,6,2,2,8,0,0,0,0,0,0,,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,1,,2,3,3,0,1,M
30,2010,AK,0,1,5,,0,,4,2,2,14,1,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,2,2,1,1,1,,2,,,,3,1,2,1,1,1,,2,4,2,0,1,1
31,2010,AK,0,1,2,,0,,6,0,2,11,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,4,4,1,0,1,M
32,2010,AK,0,1,2,,0,,6,0,2,6,0,0,0,0,0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,1,,3,3,2,0,1,M
33,2010,AK,0,1,5,,1,1,5,7,2,10,0,0,0,0,0,0,,,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,D,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,2,1,1,1,1,,1,,,,2,1,1,2,1,1,,2,5,1,0,1,1
34,2010,AK,0,1,2,,0,,4,5,2,10,0,1,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,,2,4,2,0,M,M
35,2010,AK,0,1,5,,0,,5,0,2,11,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
36,2010,AK,0,1,2,,0,,5,1,2,7,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,2,5,1,0,1,M
37,2010,AK,0,1,1,,0,,6,2,2,10,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,,4,2,1,0,1,M
