CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
2111,2012,CA,0,1,2,,0,,7,7,2,16,0,1,1,0,1,1,0,,,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,,,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,,,,,,,,,1,1,3,3,1,1,3,,3,1,1,1,1,1,1,1,1,1,,5,1,1,1,1,M
2112,2012,CA,1,1,2,,0,,6,7,1,13,0,1,1,0,1,1,0,,,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,1,0,0,0,,,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,1,1,5,4,1,1,5,,4,1,1,1,1,1,1,1,1,1,,2,4,3,0,1,M
2113,2012,CA,0,1,2,,0,,6,3,2,15,0,0,0,0,1,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,1
2114,2012,CA,0,1,2,,0,,4,4,2,13,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,1,,,,,,,,,1,1,5,5,1,1,1,,5,,,,,,,,,,,4,1,2,0,1,M
2115,2012,CA,0,1,2,,0,,5,7,2,14,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,1,1,4,3,1,1,1,,3,,,,,,,,,,,4,4,1,0,1,M
2116,2012,CA,0,1,2,,0,,1,2,0,3,0,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,4,4,1,0,1,M
2117,2012,CA,1,1,2,,1,1,6,7,2,12,0,1,0,0,1,0,0,,,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,3,1,4,1,5,5,3,1,3,,4,2,2,0,M,1
2118,2012,CA,1,1,2,,0,,3,2,2,5,0,1,0,0,1,0,0,,,4,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,1,1,1,0,0,,0,0,0,,1,1,0,0,,,0,,,,1,1,0,1,1,1,0,0,D,0,0,0,0,0,0,1,D,,,,,,,,,,,,,,,,,,2,1,5,3,5,5,5,1,3,,2,2,4,0,M,1
2119,2012,CA,0,1,2,,0,,2,1,2,9,0,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,,0,0,0,,0,0,,0,0,0,,,1,0,1,1,0,,,,,,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,1,1,3,3,1,1,1,,3,,,,,,,,,,,2,3,3,1,1,M
2120,2012,CA,0,1,2,,0,,2,3,2,6,0,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,0,1,M
2121,2012,CA,1,0,2,,0,,2,4,1,12,0,1,0,1,1,1,0,,,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,,,1,1,0,0,0,,,,,,0,1,1,0,1,0,0,0,0,0,D,,,,,,,,,5,1,1,5,1,1,3,,2,,,,,,,,,,,2,3,3,0,1,M
2122,2012,CA,1,1,2,,0,,6,6,1,13,0,1,0,1,1,0,1,1,3,4,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,2,1,1,3,3,1,3,1,3,1,1,5,0,1,1
2123,2012,CA,0,1,4,,0,,5,2,2,12,0,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,5,1,1,0,1,M
2124,2012,CA,0,1,4,,0,,5,2,1,6,0,0,0,0,0,0,0,,,M,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,4,2,3,0,1,M
2125,2012,CA,1,1,1,,1,2,6,6,2,10,0,0,M,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,1,0,0,1,1,1,0,,,,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,D,3,2,3,1,1,1,,1,,,,,,,,,,1,1,3,1,1,2,1,1,1,,2,4,4,0,1,1
2126,2012,CA,1,1,1,,0,,1,3,1,10,0,0,0,1,1,1,1,1,3,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,4,3,4,1,1,5,0,1,1
2127,2012,CA,1,1,1,,0,,6,7,2,13,0,0,0,1,0,0,1,1,3,4,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,D,,,,,,,,,,,,,,,,,,3,4,1,1,1,3,1,4,1,4,1,1,5,0,1,1
2128,2012,CA,1,1,1,,0,,2,4,1,13,0,0,M,1,0,0,1,1,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,D,,,,,,,,,,,,,,,,,,4,2,1,1,1,2,1,2,1,2,1,1,5,0,1,1
2129,2012,CA,1,1,4,,0,,6,5,2,15,0,1,0,0,1,0,0,,,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,2,1,1,1,5,5,3,1,4,,2,5,1,0,1,M
2130,2012,CA,0,1,4,,0,,3,0,1,2,0,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,1,3,0,1,M
2131,2012,CA,0,1,4,,0,,7,7,2,13,0,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,5,1,5,1,1,1,,3,2,3,0,1,M
2132,2012,CA,0,1,2,,0,,6,3,2,5,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,2,1,1,,2,5,2,0,1,M
2133,2012,CA,0,1,2,,0,,6,3,1,8,0,0,M,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,,1,1,5,0,1,M
2134,2012,CA,0,1,2,,0,,5,2,2,7,0,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,M,0,,,0,,,,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,,4,2,1,0,1,M
2135,2012,CA,0,1,4,,0,,7,2,2,12,0,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,0,1,M
2136,2012,CA,0,1,4,,0,,6,2,2,4,0,0,0,0,0,0,0,,,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,2,2,4,0,M,M
2137,2012,CA,0,1,4,,0,,7,2,2,10,0,0,0,0,0,0,0,,,2,0,,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,1,,2,3,3,0,1,M
2138,2012,CA,0,1,2,,0,,6,2,2,7,0,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,5,1,1,,4,3,1,0,1,M
2139,2012,CA,0,1,2,,0,,7,2,2,6,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,,,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,1,D,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,1,1,,2,5,1,0,1,M
2140,2012,CA,0,1,4,,0,,6,3,2,12,0,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,4,1,1,,3,3,3,0,1,M
2141,2012,CA,0,1,4,,0,,5,4,2,13,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,3,1,2,1,1,1,,5,1,1,0,1,M
2142,2012,CA,0,1,4,,0,,5,2,2,9,0,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,3,5,5,4,1,1,,4,1,3,0,1,M
2143,2012,CA,0,1,2,,0,,3,2,1,8,0,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,5,1,1,,5,1,1,0,1,M
2144,2012,CA,0,1,4,,0,,6,6,2,14,0,0,0,0,0,0,0,,,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,4,1,1,,1,3,5,0,1,M
2145,2012,CA,1,1,4,,0,,7,2,2,15,0,0,0,0,0,0,0,,,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,2,1,1,,4,2,1,0,1,M
2146,2012,CA,1,1,1,,0,,3,5,2,10,0,0,0,1,1,0,1,1,3,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,0,,,0,,,,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,2,2,1,1,1,2,1,2,1,2,1,1,5,0,1,1
