CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,OTHER_SRVC,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC126,SRVC127,SRVC128,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIVIVNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCVIVNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPVIVNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
11,2013,AK,1,1,2,,1,1,4,5,1,7,0,0,1,1,0,1,1,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,2,1,3,3,2,3,1,1,3,3,,1,5,4,0,1,1
12,2013,AK,0,1,2,,0,,4,0,2,2,0,0,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,D,1,D,D,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,1,1,1,,2,3,3,0,M,1
13,2013,AK,0,1,2,,0,,5,1,1,11,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,1,0,,,,,,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,1,1,3,2,3,1,1,1,,2,,,,,,,,,,,,4,2,1,0,M,M
14,2013,AK,0,1,6,2,1,1,6,7,2,7,0,1,1,1,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,1,0,0,1,0,0,0,,,0,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,1
15,2013,AK,0,1,5,,0,,6,2,2,9,0,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,D,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,1,,4,2,1,0,1,M
16,2013,AK,0,1,2,,0,,7,1,2,16,0,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,,1,0,1,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,2,1,1,1,1,,5,1,1,0,1,1
17,2013,AK,0,1,1,,0,,7,0,2,12,0,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,D,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,4,1,1,1,1,,2,5,2,0,1,M
18,2013,AK,0,1,1,,0,,6,1,2,6,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,0,0,1,0,0,0,D,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,1,,2,4,2,0,1,M
19,2013,AK,0,1,2,,0,,7,7,2,14,0,1,1,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,4,2,1,0,M,M
20,2013,AK,0,1,2,,0,,7,1,2,16,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,4,3,4,3,1,1,1,,2,5,1,0,1,1
21,2013,AK,0,1,2,,0,,6,2,2,7,0,0,0,0,0,0,0,0,,,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,,2,4,4,0,1,M
22,2013,AK,0,1,2,,0,,3,1,1,15,1,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,1,,1,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,,2,,,,,,,,,,,,2,1,5,0,1,1
23,2013,AK,0,1,2,,0,,7,0,2,10,0,3,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,,1,5,1,0,1,M
24,2013,AK,0,1,2,,0,,7,0,0,12,0,1,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,D,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,4,1,1,1,,1,5,3,0,1,M
25,2013,AK,0,1,5,,1,1,6,2,2,15,0,1,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,1,1,2,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,1
26,2013,AK,0,1,5,,0,,7,0,2,9,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,0,1,M
27,2013,AK,0,1,2,,0,,6,2,2,8,0,0,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,2,1,1,1,,2,3,3,0,1,M
28,2013,AK,0,1,2,,0,,5,4,1,12,0,0,1,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,1,0,1,1,0,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,1,1,5,0,M,M
29,2013,AK,0,1,2,,0,,6,6,2,12,0,1,1,0,0,1,0,0,,,3,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,D,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,1
30,2013,AK,0,1,2,,0,,3,2,2,4,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,1,1,1,1,0,1,1,1,1,0,,,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,,1,1,4,3,1,1,1,1,,3,1,1,2,2,2,2,1,1,1,1,,2,5,2,1,1,1
31,2013,AK,0,1,2,,1,1,6,1,2,12,0,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,4,1,1,1,,2,5,2,0,1,M
32,2013,AK,0,1,2,,0,,4,1,2,2,0,0,0,0,0,0,0,0,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,3,1,1,1,1,,4,2,1,0,1,M
33,2013,AK,1,1,1,,0,,6,2,2,5,0,3,1,1,0,1,1,0,,,3,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,3,2,1,2,1,,4,2,1,0,1,M
34,2013,AK,0,1,2,,0,,6,1,2,10,0,3,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,M,M,M,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,4,1,0,1,M
35,2013,AK,0,1,2,,0,,5,5,2,6,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,3,1,1,1,,3,4,2,0,1,1
36,2013,AK,0,1,1,,0,,4,0,2,3,0,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,D,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,1,,1,5,2,0,1,M
37,2013,AK,0,1,2,,0,,7,2,2,14,0,1,0,0,0,0,0,0,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,1,1,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,5,5,3,5,1,1,1,1,,4,3,1,0,1,1
38,2013,AK,0,1,2,,0,,7,1,2,10,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,1,1,1,D,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,5,1,3,1,1,1,1,,5,1,1,0,1,1
39,2013,AK,0,1,2,,0,,4,3,1,16,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,1,1,2,2,1,1,1,1,,1,,,,,,,,,,,,4,2,1,0,1,1
40,2013,AK,0,1,2,,0,,5,2,2,4,0,3,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,,5,1,1,0,1,M
41,2013,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,4,1,1,1,,5,1,1,0,1,M
42,2013,AK,0,1,2,,0,,5,1,1,12,1,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,1,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,D,1,1,D,1,D,,,,,,,,,,1,1,4,3,4,1,1,1,,3,,,,,,,,,,,,5,1,1,0,1,1
43,2013,AK,0,1,2,,0,,7,0,2,13,0,0,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
44,2013,AK,0,1,2,,0,,4,2,2,15,0,0,0,0,0,0,0,0,,,1,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,D,D,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,1,1,1,1,,2,5,2,0,1,1
45,2013,AK,0,1,2,,1,3,7,5,2,12,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,M
46,2013,AK,0,1,2,,0,,7,2,2,11,0,1,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,,1,5,1,0,1,M
47,2013,AK,0,1,5,,0,,5,2,2,10,0,0,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,3,4,1,1,M,M
48,2013,AK,0,1,5,,0,,5,1,2,12,0,0,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,1,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,0,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,1
49,2013,AK,0,1,5,,1,1,5,5,1,10,0,0,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,,,,,,1,1,1,0,0,1,1,1,1,1,1,,,,,,,,,,1,2,1,1,2,1,1,1,,1,,,,,,,,,,,,5,1,1,0,1,1
50,2013,AK,0,1,5,,0,,4,5,2,10,0,1,0,0,0,0,0,0,,,3,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
51,2013,AK,0,1,2,,1,1,7,5,2,11,0,3,0,0,0,D,D,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,,1,5,1,0,M,1
52,2013,AK,0,1,5,,0,,1,0,2,3,0,0,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,1,0,0,0,0,1,0,1,D,0,0,0,0,D,D,D,1,,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,5,1,0,M,M
53,2013,AK,0,1,6,2,0,,6,2,2,3,0,0,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,1,,1,5,3,0,1,1
54,2013,AK,0,1,1,,0,,7,2,2,12,0,3,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,5,4,4,1,1,1,1,,3,4,1,0,1,M
55,2013,AK,0,1,2,,0,,7,5,2,12,0,3,1,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,1,1,,4,2,1,0,1,1
56,2013,AK,1,1,5,,0,,5,4,2,16,0,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,1,0,0,0,0,0,0,1,0,1,0,,,1,1,1,1,0,,,,,,D,1,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,1,2,1,2,1,1,1,,1,,,,,,,,,,,,4,3,1,0,1,1
57,2013,AK,0,1,2,,1,1,7,1,2,15,0,0,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,4,4,1,1,1,,4,2,1,0,1,1
58,2013,AK,0,1,5,,0,,6,7,2,12,0,0,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,D,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
59,2013,AK,0,1,1,,0,,6,0,2,4,0,1,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,1
