CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
11,2011,AK,0,1,1,,0,,5,2,2,4,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,5,4,1,1,1,,1,5,2,0,1,M
12,2011,AK,0,1,2,,0,,4,2,2,13,0,0,0,0,0,0,0,,,0,,1,1,0,M,M,M,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,4,4,1,1,1,,2,5,1,0,1,1
13,2011,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
14,2011,AK,1,1,2,,1,1,4,5,1,7,0,1,1,0,1,1,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,2,1,3,3,2,3,1,1,3,,1,5,2,0,1,1
15,2011,AK,0,1,5,,0,,7,6,2,8,0,1,0,0,0,0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,1,1,1,,3,4,1,0,1,1
16,2011,AK,0,1,2,,0,,7,0,2,13,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,M
17,2011,AK,0,1,2,,0,,4,1,2,7,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,1,0,0,,,1,0,0,1,0,,,,,,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,1,1,3,2,3,1,1,,1,,,,,,,,,,,2,3,3,0,1,M
18,2011,AK,0,1,5,,0,,5,2,2,10,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,D,D,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,2,1,1,,5,1,1,0,1,M
19,2011,AK,0,1,2,,0,,5,1,2,10,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,4,3,3,1,1,1,,2,3,3,0,1,M
20,2011,AK,0,1,1,,0,,5,0,2,8,0,0,M,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,1,1,1,,1,5,2,0,1,M
21,2011,AK,0,1,2,,0,,7,7,2,14,0,1,M,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,4,1,1,,5,1,1,0,M,M
22,2011,AK,0,1,2,,0,,7,1,2,17,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,,,0,,,,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,5,4,5,4,1,1,,2,3,3,0,1,1
23,2011,AK,0,1,2,,0,,6,2,2,9,0,0,0,0,0,0,0,,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,,5,1,1,0,1,M
24,2011,AK,0,1,5,,0,,4,1,2,14,1,0,0,0,0,0,0,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,0,0,0,0,0,,,1,0,0,1,0,,,,,,0,1,1,0,1,1,1,1,1,1,D,,,,,,,,,1,1,2,2,1,1,1,,2,,,,,,,,,,,5,1,1,0,1,1
25,2011,AK,0,1,2,,0,,7,0,2,10,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,5,3,0,1,M
26,2011,AK,0,1,2,,0,,6,0,2,6,0,0,M,0,0,0,0,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,4,1,1,,2,5,1,0,1,M
27,2011,AK,0,1,5,,1,1,6,5,2,14,0,0,0,0,0,0,0,,,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,1,1,2,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,1
28,2011,AK,0,1,5,,0,,7,0,2,10,0,0,0,0,1,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,D,1,0,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,1,5,1,0,1,M
29,2011,AK,0,1,2,,0,,6,1,2,7,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
30,2011,AK,1,1,1,,0,,4,2,2,8,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,1,1,0,1,M
31,2011,AK,0,1,2,,0,,5,4,1,12,0,1,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,1,0,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,1,0,1,1,0,,,,,,,,,1,1,2,1,2,1,1,,1,,,,,,,,,,,5,1,1,0,M,M
32,2011,AK,0,1,2,,0,,5,1,2,15,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,1,0,0,,,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,D,,,,,,,,,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,2,1,1,,5,1,1,0,1,1
33,2011,AK,0,1,2,,0,,5,2,2,11,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,5,2,0,1,M
34,2011,AK,0,1,2,,0,,2,2,2,3,0,0,M,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,M,0,0,0,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,,,,,,,,,1,1,3,3,1,1,1,,3,1,1,3,2,1,2,1,1,1,,3,4,2,1,1,M
35,2011,AK,0,1,2,,1,1,6,0,2,14,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,2,1,1,,1,5,2,0,1,M
36,2011,AK,0,1,1,,0,,7,2,2,2,0,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,D,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,1,1,,2,4,4,0,1,M
37,2011,AK,0,1,2,,0,,6,1,2,10,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,5,1,0,1,M
38,2011,AK,0,1,2,,0,,5,5,2,6,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,3,1,1,,4,2,2,0,1,1
39,2011,AK,0,1,1,,0,,4,0,2,3,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,D,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,,1,5,3,0,1,M
40,2011,AK,0,1,2,,0,,5,2,2,12,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,,1,5,1,0,1,M
41,2011,AK,0,1,2,,0,,6,1,2,11,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,1,1,1,,4,3,1,0,1,1
42,2011,AK,0,1,2,,0,,3,1,2,1,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,1,1,1,,2,4,2,0,1,M
43,2011,AK,0,1,2,,0,,6,3,2,12,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,2,,,,,,,,,,,4,2,1,1,1,1
44,2011,AK,0,1,2,,0,,5,2,2,5,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,3,1,1,,2,5,2,0,1,M
45,2011,AK,0,1,2,,0,,1,1,1,12,1,0,M,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,D,1,1,D,1,D,,,,,,,,,1,1,3,3,4,1,1,,3,,,,,,,,,,,5,1,1,0,1,1
46,2011,AK,0,1,2,,0,,7,0,2,13,0,0,M,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
47,2011,AK,0,1,2,,0,,7,5,2,11,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,,1,5,1,0,1,1
48,2011,AK,0,1,5,,1,1,5,5,1,9,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,0,0,0,,,1,0,1,0,0,,,,,,1,1,1,0,0,1,1,1,1,1,1,,,,,,,,,1,2,1,1,2,1,1,,1,,,,,,,,,,,5,1,1,0,1,1
49,2011,AK,0,1,2,,0,,3,1,1,9,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,1,1,2,1,2,1,1,,1,,,,,,,,,,,4,4,1,0,1,1
50,2011,AK,1,1,2,,0,,7,2,2,14,0,1,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,1,1,1,0,0,,,,,,0,1,1,0,0,1,1,0,1,1,0,,,,,,,,,1,2,1,1,1,1,1,,1,,,,,,,,,,,4,4,1,0,1,1
51,2011,AK,0,1,2,,0,,7,6,1,11,0,1,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
52,2011,AK,0,1,5,,0,,5,0,2,14,0,0,0,0,0,0,0,,,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,,,,,,,,,1,1,2,1,1,1,1,,1,1,1,1,1,2,2,1,1,1,,5,1,1,0,M,1
53,2011,AK,1,1,2,,0,,7,3,2,15,0,1,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,,,1,1,1,0,0,,,,,,0,1,1,0,0,1,1,0,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,1,5,1,0,1,1
54,2011,AK,0,1,2,,0,,6,2,2,13,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,,,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,D,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,3,3,4,1,1,,1,5,3,1,1,M
55,2011,AK,0,1,2,,0,,1,7,2,18,1,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,1,1,2,1,1,1,1,,1,,,,,,,,,,,2,5,1,0,1,1
56,2011,AK,0,1,2,,0,,3,2,1,15,1,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,D,,,,,,,,,1,1,2,2,1,1,1,,2,,,,,,,,,,,4,1,1,0,1,1
57,2011,AK,0,1,6,1,0,,7,7,2,15,0,1,1,0,1,1,0,0,D,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,0,1,0,0,,,1,0,1,1,1,0,0,1,1,1,0,1,D,0,1,1,1,1,D,1,D,,,,,,,,,1,1,5,5,1,1,1,,1,1,1,1,4,2,3,1,1,1,,4,2,1,0,M,1
58,2011,AK,0,1,2,,0,,7,2,2,12,0,0,0,0,0,0,0,,,0,,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,2,1,2,2,2,1,1,,4,3,1,0,1,M
59,2011,AK,0,1,4,,1,1,7,2,2,11,0,0,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,2,4,1,0,1,M
60,2011,AK,0,1,2,,0,,4,2,2,5,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,,,,,,,,,1,1,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,5,1,0,1,1
61,2011,AK,0,1,5,,0,,7,4,2,13,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,,,0,,,,1,0,0,1,0,1,0,1,1,0,D,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,5,3,4,5,1,1,1,,1,5,1,0,1,1
62,2011,AK,0,1,2,,0,,7,2,2,10,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,1,,4,2,1,0,1,M
63,2011,AK,0,1,2,,0,,7,2,2,11,0,0,0,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,1,,4,2,1,0,1,M
64,2011,AK,0,1,6,3,0,,2,0,1,5,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,,,0,,,,1,0,0,0,0,1,0,1,D,1,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,1
65,2011,AK,0,1,2,,0,,7,5,2,13,0,0,M,0,0,0,0,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,,0,0,1,1,M,0,,,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,1,1,1,1,1,1,1,,2,1,1,1,1,2,2,1,1,1,,4,4,1,0,1,1
66,2011,AK,1,1,2,,0,,6,5,2,9,0,0,0,1,0,0,1,1,3,0,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,0,0,,,0,,,,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,D,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,1,4,0,1,1
67,2011,AK,1,1,4,,1,1,5,7,2,12,0,1,0,0,0,0,0,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,2,1,1,1,1,1,,1,1,2,1,1,1,1,1,,1,1,1,1,1,4,4,1,1,1,,2,5,1,0,1,1
68,2011,AK,0,1,2,,0,,5,2,2,6,0,0,0,0,0,0,0,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,1,,5,1,2,0,1,1
