,YEAR,STATE,OTP,TOT_FAC
230,2014,NE,6,226
231,2014,NH,16,96
232,2014,NJ,70,724
233,2014,NM,22,248
234,2014,NV,22,154
235,2014,NY,322,1870
236,2014,OH,44,756
237,2014,OK,22,428
238,2014,OR,30,478
239,2014,PA,160,1088
240,2014,PR,14,300
241,2014,RI,32,122
242,2014,SC,26,220
243,2014,SD,2,140
244,2014,TN,10,426
245,2014,TX,144,960
246,2014,UT,26,356
247,2014,VA,48,446
248,2014,VI,2,6
249,2014,VT,22,94
250,2014,WA,46,884
251,2014,WI,28,614
252,2014,WV,20,210
